Month,Year,Channel,TotalRevenue
6,2012,INSERT,80.14
3,2011,INSERT,0.0
3,2013,INSERT,1916.2500000000055
1,2013,INSERT,3076.949999999989
4,2016,INSERT,0.0
6,2010,INSERT,0.0
3,2010,INSERT,0.0
1,2014,INSERT,8064.5499999999765
2,2015,INSERT,323.73999999999995
6,2011,INSERT,7435.659999999994
5,2010,INSERT,0.0
1,2015,INSERT,239.85000000000002
5,2011,INSERT,43775.83999999999
2,2014,INSERT,6804.199999999982
6,2013,INSERT,1686.4000000000035
2,2013,INSERT,2518.499999999998
6,2014,INSERT,7567.319999999983
5,2014,INSERT,8745.369999999984
3,2015,INSERT,224.69
5,2013,INSERT,2922.599999999993
4,2012,INSERT,0.0
1,2010,INSERT,0.0
3,2016,INSERT,0.0
2,2012,INSERT,49.870000000000005
2,2010,INSERT,0.0
1,2011,INSERT,0.0
2,2011,INSERT,0.0
3,2014,INSERT,6047.90999999999
4,2010,INSERT,0.0
5,2016,INSERT,0.0
4,2013,INSERT,2731.4999999999955
4,2011,INSERT,0.0
2,2011,INTERNAL,0.0
11,2013,INTERNAL,0.0
5,2014,INTERNAL,0.0
10,2015,INTERNAL,89.82
5,2011,INTERNAL,0.0
8,2010,INTERNAL,0.0
8,2011,INTERNAL,0.0
7,2016,INTERNAL,0.0
11,2012,INTERNAL,0.0
5,2012,INTERNAL,0.0
11,2010,INTERNAL,0.0
4,2010,INTERNAL,0.0
2,2012,INTERNAL,0.0
5,2013,INTERNAL,0.0
11,2011,INTERNAL,0.0
2,2014,INTERNAL,0.0
8,2012,INTERNAL,0.0
6,2015,INTERNAL,178.04000000000002
10,2014,INTERNAL,0.0
9,2013,INTERNAL,0.0
9,2012,INTERNAL,0.0
4,2011,INTERNAL,0.0
3,2016,INTERNAL,185.8
9,2014,INTERNAL,0.0
3,2015,INTERNAL,1105.17
9,2011,INTERNAL,0.0
4,2012,INTERNAL,0.0
9,2015,INTERNAL,17.45
3,2014,INTERNAL,0.0
9,2016,INTERNAL,0.0
9,2010,INTERNAL,0.0
4,2013,INTERNAL,0.0
3,2013,INTERNAL,0.0
2,2015,INTERNAL,265.7
10,2010,INTERNAL,0.0
4,2014,INTERNAL,0.0
3,2012,INTERNAL,0.0
10,2011,INTERNAL,0.0
8,2015,INTERNAL,9222.04
4,2015,INTERNAL,2727.6899999999996
3,2011,INTERNAL,0.0
10,2012,INTERNAL,0.0
8,2014,INTERNAL,0.0
7,2015,INTERNAL,432.7
3,2010,INTERNAL,0.0
10,2013,INTERNAL,0.0
8,2013,INTERNAL,0.0
5,2010,INTERNAL,0.0
2,2016,INTERNAL,29.9
8,2016,INTERNAL,0.0
4,2016,INTERNAL,0.0
2,2013,INTERNAL,0.0
12,2011,INTERNAL,0.0
12,2013,INTERNAL,0.0
6,2012,INTERNAL,0.0
7,2014,INTERNAL,0.0
5,2016,INTERNAL,56.25
1,2011,INTERNAL,0.0
12,2012,INTERNAL,0.0
7,2011,INTERNAL,0.0
1,2016,INTERNAL,0.0
12,2010,INTERNAL,0.0
1,2015,INTERNAL,0.0
6,2013,INTERNAL,0.0
7,2010,INTERNAL,0.0
6,2010,INTERNAL,0.0
7,2013,INTERNAL,0.0
11,2015,INTERNAL,105.0
6,2016,INTERNAL,0.0
12,2014,INTERNAL,0.0
6,2014,INTERNAL,0.0
5,2015,INTERNAL,57.94
12,2015,INTERNAL,0.0
1,2010,INTERNAL,0.0
6,2011,INTERNAL,0.0
7,2012,INTERNAL,0.0
2,2010,INTERNAL,0.0
1,2012,INTERNAL,0.0
11,2014,INTERNAL,0.0
